adm3_pcode,adm3_name,adm2_name,adm1_name
ET041904,Ababo,Horo Gudru Wellega,Oromia
ET041905,Abay Chomen,Horo Gudru Wellega,Oromia
ET041910,Abe Dongoro,Horo Gudru Wellega,Oromia
ET041909,Amuru,Horo Gudru Wellega,Oromia
ET041911,Choman Guduru,Horo Gudru Wellega,Oromia
ET041903,Guduru,Horo Gudru Wellega,Oromia
ET041901,Horo,Horo Gudru Wellega,Oromia
ET041912,Horo Buluk,Horo Gudru Wellega,Oromia
ET041908,Jarte Jardega,Horo Gudru Wellega,Oromia
ET041906,Jimma Genete,Horo Gudru Wellega,Oromia
ET041907,Jimma Rare,Horo Gudru Wellega,Oromia
ET041902,Shambu town,Horo Gudru Wellega,Oromia
ET041913,Sulula Finca'a,Horo Gudru Wellega,Oromia
ET040311,Ale,Ilu Aba Bora,Oromia
ET040302,Alge Sachi,Ilu Aba Bora,Oromia
ET040314,Becho (Ilu Aba Bora),Ilu Aba Bora,Oromia
ET040315,Bilo Nopha,Ilu Aba Bora,Oromia
ET040312,Bure (OR),Ilu Aba Bora,Oromia
ET040301,Darimu,Ilu Aba Bora,Oromia
ET040317,Didu,Ilu Aba Bora,Oromia
ET040324,Dorani,Ilu Aba Bora,Oromia
ET040319,Halu /Huka,Ilu Aba Bora,Oromia
ET040316,Hurumu,Ilu Aba Bora,Oromia
ET040310,Metu Zuria,Ilu Aba Bora,Oromia
ET040320,Metu town,Ilu Aba Bora,Oromia
ET040313,Sale Nono,Ilu Aba Bora,Oromia
ET040309,Yayu,Ilu Aba Bora,Oromia
ET040417,Agaro town,Jimma,Oromia
ET040495,Botor Tolay,Jimma,Oromia
ET040415,Chora (Jimma),Jimma,Oromia
ET040410,Dedo,Jimma,Oromia
ET040408,Gera,Jimma,Oromia
ET040407,Goma,Jimma,Oromia
ET040416,Gumay,Jimma,Oromia
ET040418,Jimma town,Jimma,Oromia
ET040405,Kersa (Jimma),Jimma,Oromia
ET040402,Limu Kosa,Jimma,Oromia
ET040401,Limu Seka,Jimma,Oromia
ET040490,Mancho,Jimma,Oromia
ET040406,Mena (Jimma),Jimma,Oromia
ET040499,Nono Benja,Jimma,Oromia
ET040491,Omo Beyam,Jimma,Oromia
ET040411,Omo Nada,Jimma,Oromia
ET040409,Seka Chekorsa,Jimma,Oromia
ET040403,Sekoru,Jimma,Oromia
ET040413,Setema,Jimma,Oromia
ET040414,Shebe Sambo,Jimma,Oromia
ET040412,Sigmo,Jimma,Oromia
ET040404,Tiro Afeta,Jimma,Oromia
ET041807,Anfilo,Kelem Wellega,Oromia
ET041808,Dale Sadi,Kelem Wellega,Oromia
ET041803,Dale Wabera,Kelem Wellega,Oromia
ET041806,Denbi Dollo town,Kelem Wellega,Oromia
ET041804,Gawo Kebe,Kelem Wellega,Oromia
ET041809,Gidami,Kelem Wellega,Oromia
ET041801,Hawa Galan,Kelem Wellega,Oromia
ET041810,Jimma Horo,Kelem Wellega,Oromia
ET041811,Lalo Kile,Kelem Wellega,Oromia
ET041805,Sayo,Kelem Wellega,Oromia
ET041812,Sedi Chenka,Kelem Wellega,Oromia
ET041802,Yama Logi Welel,Kelem Wellega,Oromia
ET040609,Abichugna Gne'a,North Shewa (OR),Oromia
ET040617,Aleltu,North Shewa (OR),Oromia
ET040619,Bereh,North Shewa (OR),Oromia
ET040621,Chancho town,North Shewa (OR),Oromia
ET040607,Debre Libanos,North Shewa (OR),Oromia
ET040605,Degem,North Shewa (OR),Oromia
ET040602,Dera (OR),North Shewa (OR),Oromia
ET040613,Fiche town,North Shewa (OR),Oromia
ET040616,Garba Guracha,North Shewa (OR),Oromia
ET040606,Gerar Jarso,North Shewa (OR),Oromia
ET040603,Hidabu Abote,North Shewa (OR),Oromia
ET040615,Jida,North Shewa (OR),Oromia
ET040610,Kimbibit,North Shewa (OR),Oromia
ET040604,Kuyu,North Shewa (OR),Oromia
ET040622,Mulo,North Shewa (OR),Oromia
ET040623,Sendafa town,North Shewa (OR),Oromia
ET040611,Sheno town,North Shewa (OR),Oromia
ET040620,Sululta (OR),North Shewa (OR),Oromia
ET040601,Wara Jarso,North Shewa (OR),Oromia
ET040608,Wuchale,North Shewa (OR),Oromia
ET040614,Yaya Gulele,North Shewa (OR),Oromia
ET042001,Burayu,Shager City,Oromia
ET042002,Eka Tafo,Shager City,Oromia
ET042003,Furi,Shager City,Oromia
ET042004,Galan,Shager City,Oromia
ET042005,Galan Gudo,Shager City,Oromia
ET042006,Gefersa Guje,Shager City,Oromia
ET042007,Koye,Shager City,Oromia
ET042008,Kura Jida,Shager City,Oromia
ET042009,Mana Abichu,Shager City,Oromia
ET042010,Melka Nonno,Shager City,Oromia
ET042011,Sebeta,Shager City,Oromia
ET042012,Sululta,Shager City,Oromia
ET041301,Ameya,South West Shewa,Oromia
ET041309,Becho (SW Shewa),South West Shewa,Oromia
ET041304,Dawo,South West Shewa,Oromia
ET041312,Goro (SW Shewa),South West Shewa,Oromia
ET041305,Ilu,South West Shewa,Oromia
ET041307,Kersana Malima,South West Shewa,Oromia
ET041306,Sebeta Hawas,South West Shewa,Oromia
ET041310,Seden Sodo,South West Shewa,Oromia
ET041314,Sodo Daci,South West Shewa,Oromia
ET041308,Tole,South West Shewa,Oromia
ET041303,Waliso,South West Shewa,Oromia
ET041302,Wenchi,South West Shewa,Oromia
ET041311,Woliso town,South West Shewa,Oromia
ET041710,Adaba,West Arsi,Oromia
ET041703,Arsi Negele,West Arsi,Oromia
ET041799,Arsi Negele town,West Arsi,Oromia
ET041707,Dodola,West Arsi,Oromia
ET041700,Dodola town,West Arsi,Oromia
ET041706,Gedeb Asasa,West Arsi,Oromia
ET041783,Heban Arsi,West Arsi,Oromia
ET041704,Kofele,West Arsi,Oromia
ET041713,Kofele town,West Arsi,Oromia
ET041708,Kokosa,West Arsi,Oromia
ET041705,Kore,West Arsi,Oromia
ET041709,Nenesebo,West Arsi,Oromia
ET041702,Shala,West Arsi,Oromia
ET041712,Shashemene,West Arsi,Oromia
ET041711,Shashemene town,West Arsi,Oromia
ET041701,Siraro,West Arsi,Oromia
ET041797,Wondo,West Arsi,Oromia
ET041513,Abaya,West Guji,Oromia
ET041596,Birbirsa Kojowa,West Guji,Oromia
ET041501,Bule Hora,West Guji,Oromia
ET041587,Bule Hora town,West Guji,Oromia
ET041515,Dugda Dawa,West Guji,Oromia
ET041517,Gelana (West Guji),West Guji,Oromia
ET041509,Hambela Wamena,West Guji,Oromia
ET041502,Kercha,West Guji,Oromia
ET041503,Kercha town,West Guji,Oromia
ET041518,Melka Soda,West Guji,Oromia
ET041594,Suro Berguda,West Guji,Oromia
ET040906,Anchar,West Hararge,Oromia
ET040914,Bedesa town,West Hararge,Oromia
ET040910,Boke,West Hararge,Oromia
ET040998,Burqua Dhintu,West Hararge,Oromia
ET040913,Chiro Zuria,West Hararge,Oromia
ET040905,Chiro town,West Hararge,Oromia
ET040909,Daro Lebu,West Hararge,Oromia
ET040902,Doba,West Hararge,Oromia
ET040912,Gemechis,West Hararge,Oromia
ET040907,Goba Koricha,West Hararge,Oromia
ET040991,Gumbi Bordede,West Hararge,Oromia
ET040908,Habro,West Hararge,Oromia
ET040915,Hawi Gudina,West Hararge,Oromia
ET040911,Kuni /Oda Bultum,West Hararge,Oromia
ET040904,Mesela /Shen Duggoo,West Hararge,Oromia
ET040901,Mieso,West Hararge,Oromia
ET040903,Tulo (OR),West Hararge,Oromia
ET040516,Abuna Ginde Beret,West Shewa,Oromia
ET040513,Adda Berga,West Shewa,Oromia
ET040503,Ambo Zuria,West Shewa,Oromia
ET040515,Ambo town,West Shewa,Oromia
ET040506,Bako Tibe,West Shewa,Oromia
ET040505,Cheliya,West Shewa,Oromia
ET040592,Cobi,West Shewa,Oromia
ET040507,Dano,West Shewa,Oromia
ET040510,Dendi,West Shewa,Oromia
ET040511,Ejere /Addis Alem,West Shewa,Oromia
ET040590,Ejersa Lafo,West Shewa,Oromia
ET040501,Ginde Beret,West Shewa,Oromia
ET040512,Holeta town,West Shewa,Oromia
ET040519,Ifata,West Shewa,Oromia
ET040500,Illu Galan,West Shewa,Oromia
ET040502,Jeldu,West Shewa,Oromia
ET040518,Jibat,West Shewa,Oromia
ET040597,Liban Jawi,West Shewa,Oromia
ET040514,Meta Robi,West Shewa,Oromia
ET040594,Meta Walkite,West Shewa,Oromia
ET040504,Mida Kegn,West Shewa,Oromia
ET040508,Nono,West Shewa,Oromia
ET040509,Tikur Enchini,West Shewa,Oromia
ET040517,Toke Kutaye,West Shewa,Oromia
ET040520,Welmera,West Shewa,Oromia
ET040107,Ayira,West Wellega,Oromia
ET040111,Babo,West Wellega,Oromia
ET040116,Begi,West Wellega,Oromia
ET040110,Boji Chekorsa,West Wellega,Oromia
ET040106,Boji Dirmeji,West Wellega,Oromia
ET040113,Gaji,West Wellega,Oromia
ET040103,Gimbi,West Wellega,Oromia
ET040193,Gimbi town,West Wellega,Oromia
ET040109,Gudetu Kondole,West Wellega,Oromia
ET040119,Guliso,West Wellega,Oromia
ET040114,Haru,West Wellega,Oromia
ET040117,Homa,West Wellega,Oromia
ET040108,Jarso (West Wellega),West Wellega,Oromia
ET040105,Kiltu Kara,West Wellega,Oromia
ET040104,Lalo Asabi,West Wellega,Oromia
ET040197,Leta Sibu,West Wellega,Oromia
ET040101,Mana Sibu,West Wellega,Oromia
ET040198,Mendi town,West Wellega,Oromia
ET040102,Nejo,West Wellega,Oromia
ET040199,Nejo town,West Wellega,Oromia
ET040115,Nole Kaba,West Wellega,Oromia
ET040118,Sayo Nole,West Wellega,Oromia
ET040112,Yubdo,West Wellega,Oromia
ET160301,Arbegona,Central,Sidama
ET160305,Dale,Central,Sidama
ET160306,Darara,Central,Sidama
ET160307,Loka Abaya,Central,Sidama
ET160302,Shafamo,Central,Sidama
ET160303,Wonosho,Central,Sidama
ET160304,Yirgalem town,Central,Sidama
ET160507,Aroresa,Eastern,Sidama
ET160503,Bensa,Eastern,Sidama
ET160502,Bona Zuria,Eastern,Sidama
ET160501,Bura,Eastern,Sidama
ET160509,Chabe Gambeltu,Eastern,Sidama
ET160506,Chire,Eastern,Sidama
ET160505,Daella,Eastern,Sidama
ET160504,Daye town,Eastern,Sidama
ET160508,Hokko,Eastern,Sidama
ET160101,Hawassa town,Hawassa town Admin,Sidama
ET160209,Bilate Zuria,Northern,Sidama
ET160208,Boricha,Northern,Sidama
ET160204,Gorche,Northern,Sidama
ET160210,Hawassa Zuria,Northern,Sidama
ET160205,Hawela,Northern,Sidama
ET160206,Leku town,Northern,Sidama
ET160203,Malga,Northern,Sidama
ET160207,Shebe Dino,Northern,Sidama
ET160202,Wondo-Genet,Northern,Sidama
ET160201,Wondo-Genet town,Northern,Sidama
ET160405,Aleta Chuko,Southern,Sidama
ET160403,Aleta Wendo,Southern,Sidama
ET160404,Aleta Wondo town,Southern,Sidama
ET160401,Bursa,Southern,Sidama
ET160410,Chirone,Southern,Sidama
ET160406,Chuko town,Southern,Sidama
ET160407,Dara,Southern,Sidama
ET160408,Dara Otilicho,Southern,Sidama
ET160409,Hulla,Southern,Sidama
ET160402,Teticha,Southern,Sidama
ET050807,Barey,Afder,Somali
ET050802,Charati,Afder,Somali
ET050808,Dolobay,Afder,Somali
ET050804,Elkare /Serer,Afder,Somali
ET050899,God-God,Afder,Somali
ET050806,Hargele,Afder,Somali
ET050898,Kohle /Qoxle,Afder,Somali
ET050809,Raso,Afder,Somali
ET050805,West Imi,Afder,Somali
ET051104,Hudet,Daawa,Somali
ET051103,Moyale (SM),Daawa,Somali
ET051187,Mubarek,Daawa,Somali
ET051198,Qada Duma,Daawa,Somali
ET050702,Bokh,Doolo,Somali
ET050701,Danod,Doolo,Somali
ET050788,Daratole,Doolo,Somali
ET050703,Galadi,Doolo,Somali
ET050799,Galhamur,Doolo,Somali
ET050798,Lehel-Yucub,Doolo,Somali
ET050704,Warder,Doolo,Somali
ET050402,Fik,Erer,Somali
ET050404,Hamero,Erer,Somali
ET050407,Lagahida,Erer,Somali
ET050408,Meyumuluka,Erer,Somali
ET050497,Qubi,Erer,Somali
ET050403,Salahad,Erer,Somali
ET050499,Wangey,Erer,Somali
ET050498,Yahob,Erer,Somali
ET050205,Aw-Bare,Fafan,Somali
ET050203,Babile (SM),Fafan,Somali
ET050290,Goljano,Fafan,Somali
ET050202,Gursum (SM),Fafan,Somali
ET050299,Harawo,Fafan,Somali
ET050298,Haroreys,Fafan,Somali
ET050207,Harshin,Fafan,Somali
ET050293,Jigjiga town,Fafan,Somali
ET050296,Kebribayah town,Fafan,Somali
ET050206,Kebribeyah,Fafan,Somali
ET050297,Koran /Mulla,Fafan,Somali
ET050204,Shabeeley,Fafan,Somali
ET050283,Tuliguled,Fafan,Somali
ET050295,Wajale town,Fafan,Somali
ET050395,Ararso,Jarar,Somali
ET050303,Aware,Jarar,Somali
ET050306,Bilcil-Bur,Jarar,Somali
ET050394,Burqod,Jarar,Somali
ET050392,Daror,Jarar,Somali
ET050307,Degahabur town,Jarar,Somali
ET050302,Degehabur,Jarar,Somali
ET050301,Degehamedo,Jarar,Somali
ET050399,Dig,Jarar,Somali
ET050304,Gashamo,Jarar,Somali
ET050305,Gunagado,Jarar,Somali
ET050382,Yocale,Jarar,Somali
ET050599,Bodaley,Korahe,Somali
ET050504,Debeweyin,Korahe,Somali
ET050598,El-Ogaden,Korahe,Somali
ET050595,Goglo,Korahe,Somali
ET050597,Higloley,Korahe,Somali
ET050502,Kebridehar,Korahe,Somali
ET050592,Kebridehar town,Korahe,Somali
ET050596,Lasdhankayre,Korahe,Somali
ET050586,Marsin,Korahe,Somali
ET050501,Shaygosh,Korahe,Somali
ET050503,Shilabo,Korahe,Somali
ET050999,Bokolmayo,Liban,Somali
ET050991,Deka Suftu,Liban,Somali
ET050902,Dolo Ado,Liban,Somali
ET050901,Filtu,Liban,Somali
ET050903,Goro Baqaqsa,Liban,Somali
ET050904,Guradamole,Liban,Somali
ET051001,Ayun,Nogob,Somali
ET051006,Dihun,Nogob,Somali
ET051002,Elwayne,Nogob,Somali
ET051003,Garbo,Nogob,Somali
ET051096,Hararey,Nogob,Somali
ET051095,Horshagah,Nogob,Somali
ET051005,Sagag,Nogob,Somali
ET050699,Aba-Korow,Shabelle,Somali
ET050602,Adadle,Shabelle,Somali
ET050608,Berocano,Shabelle,Somali
ET050603,Danan,Shabelle,Somali
ET050601,East Imi,Shabelle,Somali
ET050698,Elale,Shabelle,Somali
ET050607,Ferfer,Shabelle,Somali
ET050604,Gode,Shabelle,Somali
ET050696,Godey town,Shabelle,Somali
ET050605,Kelafo,Shabelle,Somali
ET050606,Mustahil,Shabelle,Somali
ET050105,Afdem,Siti,Somali
ET050101,Ayisha,Siti,Somali
ET050108,Daymeed,Siti,Somali
ET050102,Dembel,Siti,Somali
ET050109,Dhunyar,Siti,Somali
ET050104,Erer (SM),Siti,Somali
ET050199,Gablalu,Siti,Somali
ET050198,Gota-Biki,Siti,Somali
ET050106,Hadhagala,Siti,Somali
ET050107,Miesso,Siti,Somali
ET050103,Shinile,Siti,Somali
ET080601,Alle Special,Alle Special,South Ethiopia
ET080501,Baka Dawula,Ari,South Ethiopia
ET080504,Gelila town,Ari,South Ethiopia
ET080506,Jinka town,Ari,South Ethiopia
ET080508,North Ari,Ari,South Ethiopia
ET080511,South Ari,Ari,South Ethiopia
ET080513,Wub Ari,Ari,South Ethiopia
ET080401,Basketo Special,Basketo,South Ethiopia
ET080402,Laska town,Basketo,South Ethiopia
ET081001,Burji,Burji,South Ethiopia
ET080701,Derashe,Derashe,South Ethiopia
ET080702,Gidole town,Derashe,South Ethiopia
ET080202,Arba Minch Zuria,Gamo,South Ethiopia
ET080201,Arba Minch town,Gamo,South Ethiopia
ET080203,Birbir town,Gamo,South Ethiopia
ET080204,Bonke,Gamo,South Ethiopia
ET080205,Boreda,Gamo,South Ethiopia
ET080207,Chencha Zuriya,Gamo,South Ethiopia
ET080206,Chencha town,Gamo,South Ethiopia
ET080208,Daramalo,Gamo,South Ethiopia
ET080209,Dita,Gamo,South Ethiopia
ET080210,Gacho Baba,Gamo,South Ethiopia
ET080211,Garda Marta,Gamo,South Ethiopia
ET080212,Geressie,Gamo,South Ethiopia
ET080213,Geressie town,Gamo,South Ethiopia
ET080215,Kemba Zuria,Gamo,South Ethiopia
ET080214,Kemba town,Gamo,South Ethiopia
ET080216,Kogota /Ezo,Gamo,South Ethiopia
ET080217,Kucha,Gamo,South Ethiopia
ET080218,Kucha Alpha,Gamo,South Ethiopia
ET080219,Mirab Abaya,Gamo,South Ethiopia
ET080220,Selamber town,Gamo,South Ethiopia
ET081104,Bule,Gedeo,South Ethiopia
ET081112,Chelelektu town,Gedeo,South Ethiopia
ET081108,Churso,Gedeo,South Ethiopia
ET081105,Dila Zuria,Gedeo,South Ethiopia
ET081109,Dila town,Gedeo,South Ethiopia
ET081106,Gedeb,Gedeo,South Ethiopia
ET081110,Gedeb town,Gedeo,South Ethiopia
ET081103,Kochere,Gedeo,South Ethiopia
ET081107,Rape,Gedeo,South Ethiopia
ET081101,Wenago,Gedeo,South Ethiopia
ET081113,Wonago town,Gedeo,South Ethiopia
ET081102,Yirgachefe,Gedeo,South Ethiopia
ET081111,Yirgachefe town,Gedeo,South Ethiopia
ET080301,Beto town,Gofa,South Ethiopia
ET080302,Buleqi town,Gofa,South Ethiopia
ET080303,Denba Gofa,Gofa,South Ethiopia
ET080304,Gezei Gofa,Gofa,South Ethiopia
ET080305,Laha town,Gofa,South Ethiopia
ET080306,Melekoza,Gofa,South Ethiopia
ET080307,Melo Gada,Gofa,South Ethiopia
ET080308,O'yida,Gofa,South Ethiopia
ET080309,Sawla town,Gofa,South Ethiopia
ET080310,Uba Debre Tsehay,Gofa,South Ethiopia
ET080311,Zala,Gofa,South Ethiopia
ET080902,Karat Zuria,Konso,South Ethiopia
ET080903,Karat town,Konso,South Ethiopia
ET080901,Kena,Konso,South Ethiopia
ET080905,Kolme,Konso,South Ethiopia
ET080904,Segen Zuria,Konso,South Ethiopia
ET080801,Amaro,Kore,South Ethiopia
ET080802,Kele town,Kore,South Ethiopia
ET081201,Bena Tsemay,South Omo,South Ethiopia
ET081202,Dasenech /Kuraz,South Omo,South Ethiopia
ET081203,Hamer,South Omo,South Ethiopia
ET081204,Malie,South Omo,South Ethiopia
ET081205,Nyngatom,South Omo,South Ethiopia
ET081206,Salamago,South Omo,South Ethiopia
ET081207,Turmi town,South Omo,South Ethiopia
ET080121,Abela Abaya,Wolayita,South Ethiopia
ET080114,Areka town,Wolayita,South Ethiopia
ET080123,Bale Awassa town,Wolayita,South Ethiopia
ET080122,Bayera Koyesha,Wolayita,South Ethiopia
ET080115,Boditi town,Wolayita,South Ethiopia
ET080108,Boloso Bombe,Wolayita,South Ethiopia
ET080101,Boloso Sore,Wolayita,South Ethiopia
ET080102,Damot Gale,Wolayita,South Ethiopia
ET080111,Damot Pullasa,Wolayita,South Ethiopia
ET080109,Damot Sore,Wolayita,South Ethiopia
ET080103,Damot Woide,Wolayita,South Ethiopia
ET080112,Duguna Fango,Wolayita,South Ethiopia
ET080117,Gesuba town,Wolayita,South Ethiopia
ET080118,Gununo Hamus town,Wolayita,South Ethiopia
ET080119,Hobicha Abaya,Wolayita,South Ethiopia
ET080104,Humbo,Wolayita,South Ethiopia
ET080120,Kawo Koyesha,Wolayita,South Ethiopia
ET080110,Kindo Daddaye,Wolayita,South Ethiopia
ET080106,Kindo Koyesha,Wolayita,South Ethiopia
ET080107,Ofa,Wolayita,South Ethiopia
ET080105,Sodo Zuria,Wolayita,South Ethiopia
ET080113,Sodo town,Wolayita,South Ethiopia
ET080116,Tebela town,Wolayita,South Ethiopia
ET110309,Biftu town,Bench Sheko,South West Ethiopia
ET110303,Debub Bench,Bench Sheko,South West Ethiopia
ET110306,Gidi Bench,Bench Sheko,South West Ethiopia
ET110302,Gurafereda,Bench Sheko,South West Ethiopia
ET110307,Mizan Aman town,Bench Sheko,South West Ethiopia
ET110305,Semen Bench,Bench Sheko,South West Ethiopia
ET110304,Shay Bench,Bench Sheko,South West Ethiopia
ET110301,Sheko,Bench Sheko,South West Ethiopia
ET110310,Sheko town,Bench Sheko,South West Ethiopia
ET110308,Size town,Bench Sheko,South West Ethiopia
ET110409,Disa,Dawuro,South West Ethiopia
ET110405,Esara,Dawuro,South West Ethiopia
ET110404,Gena,Dawuro,South West Ethiopia
ET110412,Gesa town,Dawuro,South West Ethiopia
ET110406,Kachi,Dawuro,South West Ethiopia
ET110403,Loma,Dawuro,South West Ethiopia
ET110402,Mareka,Dawuro,South West Ethiopia
ET110408,Mari Mansa,Dawuro,South West Ethiopia
ET110407,Tercha Zuriya,Dawuro,South West Ethiopia
ET110411,Tercha town,Dawuro,South West Ethiopia
ET110401,Tocha,Dawuro,South West Ethiopia
ET110410,Zabagazo,Dawuro,South West Ethiopia
ET110205,Adiyio,Kefa,South West Ethiopia
ET110216,Awurada town,Kefa,South West Ethiopia
ET110210,Bita,Kefa,South West Ethiopia
ET110211,Bonga town,Kefa,South West Ethiopia
ET110209,Chena,Kefa,South West Ethiopia
ET110207,Cheta,Kefa,South West Ethiopia
ET110208,Decha,Kefa,South West Ethiopia
ET110215,Deka town,Kefa,South West Ethiopia
ET110202,Gesha,Kefa,South West Ethiopia
ET110203,Gewata,Kefa,South West Ethiopia
ET110204,Gimbo,Kefa,South West Ethiopia
ET110212,Goba (SW),Kefa,South West Ethiopia
ET110201,Saylem,Kefa,South West Ethiopia
ET110217,Shishinda town,Kefa,South West Ethiopia
ET110213,Shisho Ande,Kefa,South West Ethiopia
ET110206,Tullo,Kefa,South West Ethiopia
ET110214,Wacha town,Kefa,South West Ethiopia
ET110603,Amaya town,Konta,South West Ethiopia
ET110605,Ameya Zuria,Konta,South West Ethiopia
ET110602,Chida town,Konta,South West Ethiopia
ET110604,Elahanchano,Konta,South West Ethiopia
ET110601,Konta Koysha,Konta,South West Ethiopia
ET110101,Anderacha,Sheka,South West Ethiopia
ET110102,Masha,Sheka,South West Ethiopia
ET110105,Masha town,Sheka,South West Ethiopia
ET110104,Tepi,Sheka,South West Ethiopia
ET110103,Yeki,Sheka,South West Ethiopia
ET110509,Bachuma town,West Omo,South West Ethiopia
ET110505,Bero,West Omo,South West Ethiopia
ET110501,Gachit,West Omo,South West Ethiopia
ET110503,Gori Gesha,West Omo,South West Ethiopia
ET110510,Jemu town,West Omo,South West Ethiopia
ET110507,Maji,West Omo,South West Ethiopia
ET110511,Maji Tum town,West Omo,South West Ethiopia
ET110502,Menit Goldiye,West Omo,South West Ethiopia
ET110504,Menit Shasha,West Omo,South West Ethiopia
ET110506,Surma,West Omo,South West Ethiopia
ET010210,Abergele (TG),Central,Tigray
ET010211,Abiy Adi town,Central,Tigray
ET010207,Adet,Central,Tigray
ET010204,Adwa,Central,Tigray
ET010212,Adwa town,Central,Tigray
ET010202,Aheferom,Central,Tigray
ET010215,Ahsea,Central,Tigray
ET010213,Axum town,Central,Tigray
ET010201,Chila,Central,Tigray
ET010216,Egela,Central,Tigray
ET010219,Emba Sieneti,Central,Tigray
ET010203,Endaba Tsahma,Central,Tigray
ET010218,Endafelasi,Central,Tigray
ET010220,Enticho town,Central,Tigray
ET010217,Hahayle,Central,Tigray
ET010221,Keyhe tekli,Central,Tigray
ET010208,Kola Tembien,Central,Tigray
ET010205,Laelay Maychew,Central,Tigray
ET010209,Naeder,Central,Tigray
ET010214,Rama Adi Arbaete,Central,Tigray
ET010206,Tahtay Maychew,Central,Tigray
ET010222,Tanqua Melashe,Central,Tigray
ET010308,Adigrat town,Eastern,Tigray
ET010316,Agulae,Eastern,Tigray
ET010307,Atsbi,Eastern,Tigray
ET010315,Atsbi town,Eastern,Tigray
ET010310,Bizet,Eastern,Tigray
ET010311,Edaga Hamus town,Eastern,Tigray
ET010302,Erob,Eastern,Tigray
ET010313,Freweyni town,Eastern,Tigray
ET010304,Ganta Afeshum,Eastern,Tigray
ET010317,Geraleta,Eastern,Tigray
ET010301,Gulo Mekeda,Eastern,Tigray
ET010305,Hawzen,Eastern,Tigray
ET010312,Hawzen town,Eastern,Tigray
ET010306,Kilte Awulaelo,Eastern,Tigray
ET010303,Sebuha Saesie,Eastern,Tigray
ET010314,Tsaeda Emba,Eastern,Tigray
ET010309,Wukro town,Eastern,Tigray
ET010318,Zala Anbesa town,Eastern,Tigray
ET010705,Adihaki Sub City,Mekelle,Tigray
ET010703,Ayder Sub City,Mekelle,Tigray
ET010702,Hadnet Sub City,Mekelle,Tigray
ET010704,Hawelti Sub City,Mekelle,Tigray
ET010701,Kuiha Sub City,Mekelle,Tigray
ET010706,Qedamay Weyane Sub City,Mekelle,Tigray
ET010707,Semen Sub City,Mekelle,Tigray
ET010111,Adi Daero,North Western,Tigray
ET010105,Asgede,North Western,Tigray
ET010114,Endabaguna town,North Western,Tigray
ET010109,Laelay Koraro,North Western,Tigray
ET010112,Maekel Adiyabo,North Western,Tigray
ET010110,Seyemti Adyabo,North Western,Tigray
ET010107,Sheraro town,North Western,Tigray
ET010108,Shire Endaslasie town,North Western,Tigray
ET010101,Tahtay Adiyabo,North Western,Tigray
ET010104,Tahtay Koraro,North Western,Tigray
ET010113,Tsimbla,North Western,Tigray
ET010103,Zana,North Western,Tigray
ET010607,Adigudom,South Eastern,Tigray
ET010604,Degua Temben,South Eastern,Tigray
ET010602,Enderta,South Eastern,Tigray
ET010605,Hagere Selam town,South Eastern,Tigray
ET010603,Hintalo,South Eastern,Tigray
ET010601,Saharti,South Eastern,Tigray
ET010606,Samre,South Eastern,Tigray
ET010608,Wajirat,South Eastern,Tigray
ET010402,Bora (TG),Southern,Tigray
ET010404,Emba Alaje,Southern,Tigray
ET010405,Endamehoni,Southern,Tigray
ET010409,Maichew town,Southern,Tigray
ET010412,Mekhoni town,Southern,Tigray
ET010403,Neqsege,Southern,Tigray
ET010406,Raya Azebo,Southern,Tigray
ET010401,Selewa,Southern,Tigray
