old_adm3_pcode,new_adm3_pcode,share_of_old,share_of_new,intersection_km2,old_adm3_name,new_adm3_name,likely_change_type
ET041712,ET041711,0.460088,0.682878,323.171892,Shashemene Zuria,Shashemene town,complex_many_to_many
ET070504,ET081104,0.459971,1,126.310482,Bule,Bule,likely_split_old_to_many_new
ET041211OU027,ET041291,0.45958,1,2334.135217,Dire,Dubluk,likely_split_old_to_many_new
ET050106,ET050199,0.456551,0.928231,4659.492938,Hadhagala,Gablalu,likely_split_old_to_many_new
ET071106,ET110503,0.452118,1,1321.856693,Menit Shasha,Gori Gesha,likely_split_old_to_many_new
ET042011,ET040619,0.451246,0.998979,318.225514,Bereh,Bereh,likely_split_old_to_many_new
ET010307,ET010316,0.450778,0.551739,518.012431,Atsbi Wenberta,Agulae,complex_many_to_many
ET050105,ET050198,0.449191,0.780791,886.019347,Afdem,Gota-Biki,one_to_one_redraw_or_recode
ET070303,ET070309,0.448722,1,79.201408,Kediada Gambela,Adilo,one_to_one_redraw_or_recode
ET072003,ET072012,0.446035,1,205.872603,Lanfero,Mito,likely_split_old_to_many_new
ET042012,ET040712,0.44564,0.999999,242.417375,Akaki,Akaki,likely_split_old_to_many_new
ET010603,ET010608,0.438287,0.988678,868.310564,Hintalo Wajirat,Wajirat,likely_split_old_to_many_new
ET020203,ET020210,0.438074,1,504.688415,Aba 'Ala,Wasama,likely_split_old_to_many_new
ET071704,ET110404,0.43589,1,396.349301,Gena Bosa,Gena,likely_split_old_to_many_new
ET040502OU044,ET040592,0.429509,1,563.91039,Jeldu,Cobi,likely_split_old_to_many_new
ET042009O,ET042011,0.428879,0.259852,55.914171,Sebeta /Town/,Sebeta,complex_many_to_many
ET010303,ET010314,0.42839,0.884845,450.208559,Saesie Tsaedamba,Tsaeda Emba,complex_many_to_many
ET010406,ET990306,0.426,0.990335,741.152388,Raya Azebo,Chercher,likely_split_old_to_many_new
ET042001,ET042006,0.425942,0.209551,35.925792,Burayu,Gefersa Guje,complex_many_to_many
ET071012,ET080211,0.41786,1,485.244384,Kemba,Garda Marta,likely_split_old_to_many_new
ET070410,ET160209,0.416251,0.90221,245.251116,Boricha,Bilate Zuria,complex_many_to_many
ET051006,ET051001,0.414554,0.633304,1229.715154,Dihun,Ayun,complex_many_to_many
ET030603OU007,ET030603,0.41302,1,429.041521,Goncha Siso Enebse,Goncha Siso Enebse,likely_split_old_to_many_new
ET010105,ET010113,0.411608,0.971439,974.750671,Asgede Tsimbila,Tsimbla,likely_split_old_to_many_new
ET010306,ET010316,0.410931,0.423257,397.384266,Kelete Awelallo,Agulae,complex_many_to_many
ET011064,ET010707,0.410656,0.053354,1.929601,Kedamay Weyane,Semen Sub City,complex_many_to_many
ET010207,ET010209,0.409652,0.785617,384.65737,Naeder Adet,Naeder,likely_merge_many_old_to_new
ET070909,ET110209,0.409053,1,432.036352,Chena,Chena,likely_split_old_to_many_new
ET071305,ET080902,0.40845,1,953.274331,Konso,Karat Zuria,likely_split_old_to_many_new
ET030207OU017,ET030214,0.403576,1,906.627435,Semada,Sede Muja,likely_split_old_to_many_new
ET070406,ET160408,0.402736,0.868417,99.774267,Dara,Dara Otilicho,complex_many_to_many
ET070415,ET160505,0.401954,0.884429,136.551949,Chire,Daella,complex_many_to_many
ET050205OU058,ET050299,0.39894,0.869187,1334.476238,Aw-bare,Harawo,complex_many_to_many
ET070410,ET160306,0.395946,0.846085,233.287983,Boricha,Darara,complex_many_to_many
ET071702,ET110402,0.395127,1,182.584557,Mareka,Mareka,likely_split_old_to_many_new
ET041901OU037,ET041901,0.395007,1,355.97072,Horo,Horo,likely_split_old_to_many_new
ET010102,ET010110,0.394289,0.996535,706.534649,Laelay Adiabo,Seyemti Adyabo,likely_split_old_to_many_new
ET050702OU054,ET050799,0.393105,1,5367.810042,Bokh,Galhamur,likely_split_old_to_many_new
ET071702,ET110408,0.392515,1,181.377539,Mareka,Mari Mansa,likely_split_old_to_many_new
ET071001,ET080307,0.392137,1,608.267272,Melekoza,Melo Gada,likely_split_old_to_many_new
ET070604OU053,ET080119,0.387188,0.752753,335.897202,Humbo,Hobicha Abaya,complex_many_to_many
ET041411,ET041409,0.386957,1,294.66762,Ana Sora,Arda Jila,one_to_one_redraw_or_recode
ET030204OU014,ET030212,0.381208,1,465.170104,Farta,Guna Begemider,likely_split_old_to_many_new
ET010201,ET010214,0.380582,0.980014,468.954407,Mereb Lehe,Rama Adi Arbaete,likely_split_old_to_many_new
ET050699,ET050608,0.375591,0.171205,440.298708,Aba-korow,Berocano,complex_many_to_many
ET070604OU053,ET080104,0.37267,1,323.302219,Humbo,Humbo,likely_split_old_to_many_new
ET010102,ET010111,0.371078,0.992622,664.942996,Laelay Adiabo,Adi Daero,likely_split_old_to_many_new
ET031111OU004,ET031111,0.370418,0.688562,479.993067,Dembia,East Dembia,likely_split_old_to_many_new
ET010103,ET010109,0.36839,0.960941,383.847968,Medebay Zana,Laelay Koraro,likely_split_old_to_many_new
ET030704OU022,ET031304,0.36808,1,546.509248,Mecha,Mecha,likely_split_old_to_many_new
ET070111,ET070120,0.367896,1,334.264922,Enemorina Eaner,Enor Ener,one_to_one_redraw_or_recode
ET050202,ET050204,0.367531,0.074065,120.095323,Gursum (Somali),Shabeeley,likely_merge_many_old_to_new
ET071703,ET110403,0.362245,1,424.357577,Lome (SNNP),Loma,likely_split_old_to_many_new
ET041803OU041,ET041812,0.360638,1,298.650573,Dale Wabera,Sedi Chenka,likely_split_old_to_many_new
ET010203,ET010218,0.358823,0.986816,455.188155,Werei Leke,Endafelasi,likely_split_old_to_many_new
ET071901,ET110605,0.358772,1,844.37851,Ela (Konta) SP Woreda,Ameya Zuria,likely_split_old_to_many_new
ET070908,ET110208,0.354378,1,1046.730397,Decha,Decha,likely_split_old_to_many_new
ET041904,ET041913,0.354234,0.267534,338.092394,Ababo,Sulula Finca'a,likely_merge_many_old_to_new
ET070401,ET160205,0.354038,0.740163,69.820398,Shebe Dino,Hawela,complex_many_to_many
ET050107,ET050108,0.349781,0.95477,302.067451,Miesso,Daymeed,one_to_one_redraw_or_recode
ET051198,ET051103,0.348361,0.417337,584.236721,Qada Duma,Moyale (SM),one_to_one_redraw_or_recode
ET050902OU061,ET050902,0.347705,0.957048,3296.624927,Dolo Odo,Dolo Ado,likely_split_old_to_many_new
ET040803OU026,ET040893,0.345674,1,587.117984,Golocha,Shanan Kolu,likely_split_old_to_many_new
ET070506,ET081108,0.344145,0.612235,109.330146,Kochere Gedeb,Churso,complex_many_to_many
ET040706,ET040709,0.343825,0.509995,261.106824,Ada'a,Bishoftu town,likely_merge_many_old_to_new
ET042011,ET042008,0.340969,0.979873,240.456728,Bereh,Kura Jida,complex_many_to_many
ET041903OU036,ET041911,0.339525,0.978522,445.474095,Guduru,Choman Guduru,likely_split_old_to_many_new
ET042009O,ET042005,0.336417,0.289928,43.85962,Sebeta /Town/,Galan Gudo,complex_many_to_many
ET041212OU028,ET041295,0.335556,1,3947.99444,Teltale,Elwaya,likely_split_old_to_many_new
ET041207OU029,ET041223,0.334507,1,1345.744147,Yabelo,Gomole,likely_split_old_to_many_new
ET010106,ET990202,0.334021,0.99977,943.372451,Tselemti,Laelay Tselemti,likely_split_old_to_many_new
ET070105,ET070406,0.332318,1,277.257356,Sodo,Debub Sodo,likely_split_old_to_many_new
ET010503,ET990107,0.330282,0.998861,1085.645124,Tsegede (Tigray),Dansha town,likely_split_old_to_many_new
ET070402,ET160101,0.328031,0.859812,178.520631,Hawassa Zuria,Hawassa town,complex_many_to_many
ET072101OU050,ET071402,0.325968,1,318.668214,Halaba SP Woreda,Wera,likely_split_old_to_many_new
ET140107,ET140111,0.325787,0.311479,27.823811,Yeka,Lemi Kura Sub City,likely_merge_many_old_to_new
ET040510OU045,ET040590,0.320866,1,343.394461,Dendi,Ejersa Lafo,likely_split_old_to_many_new
ET041009OU032,ET041089,0.319605,1,217.086308,Meta,Goro Muti,likely_split_old_to_many_new
ET030201OU015,ET030213,0.315455,1,745.19705,Ebenat,Mena Meketewa,likely_split_old_to_many_new
ET010604,ET010602,0.314256,0.203281,327.026563,Dega Temben,Enderta,complex_many_to_many
ET071110,ET110306,0.31199,1,122.184222,Semen Bench,Gidi Bench,likely_split_old_to_many_new
ET040102OU047,ET040197,0.310367,1,290.437492,Nejo,Leta Sibu,likely_split_old_to_many_new
ET071105,ET110501,0.309704,1,521.447193,Menit Goldiye,Gachit,likely_split_old_to_many_new
ET070206,ET070217,0.309353,1,226.156364,Soro,Mirab Soro,likely_split_old_to_many_new
ET050199,ET050105,0.306691,0.216474,317.723742,Gablalu,Afdem,complex_many_to_many
ET070603,ET080119,0.305509,0.241086,107.578406,Damot Weydie,Hobicha Abaya,complex_many_to_many
ET030304OU010,ET030312,0.303006,1,578.96838,Meket,Gazo,likely_split_old_to_many_new
ET041703OU042,ET041783,0.300221,1,552.082059,Arsi Negele,Heban Arsi,likely_split_old_to_many_new
ET060301,ET060308,0.299888,1,462.166937,Menge,Undulu,one_to_one_redraw_or_recode
ET041401OU035,ET041490,0.297307,1,259.212883,Uraga,Haro Walabu,likely_split_old_to_many_new
ET011065,ET010703,0.292566,0.085863,3.575761,Hawelti,Ayder Sub City,complex_many_to_many
ET071305,ET080905,0.291602,1,680.566616,Konso,Kolme,likely_split_old_to_many_new
ET071701,ET110406,0.289625,1,215.740683,Tocha,Kachi,likely_split_old_to_many_new
ET042001,ET042010,0.289425,0.610094,24.411354,Burayu,Melka Nonno,complex_many_to_many
ET071003,ET080218,0.288291,1,401.266419,Kucha,Kucha Alpha,likely_split_old_to_many_new
ET010201,ET010215,0.2868,0.976457,353.395286,Mereb Lehe,Ahsea,likely_split_old_to_many_new
ET060303,ET060311,0.286407,1,836.53752,Assosa,Ura,likely_split_old_to_many_new
ET070610,ET080120,0.285298,0.664199,108.541807,Kindo Dida,Kawo Koyesha,complex_many_to_many
ET010304,ET010310,0.282246,0.926492,148.154439,Ganta Afeshum,Bizet,likely_split_old_to_many_new
ET010404,ET010401,0.268899,0.773304,213.017064,Alage,Selewa,complex_many_to_many
ET041502OU064,ET041596,0.267256,1,204.739081,Kercha,Birbirsa Kojowa,likely_split_old_to_many_new
ET030802,ET030808,0.262156,1,443.994804,Sekota,Tsagbeji,one_to_one_redraw_or_recode
ET050502OU070,ET050502,0.261722,0.999074,2340.347691,Kebridehar,Kebridehar,likely_split_old_to_many_new
ET010405,ET010403,0.256336,0.976267,164.572479,Endamehoni,Neqsege,likely_split_old_to_many_new
ET042012,ET042007,0.256283,0.996916,139.411737,Akaki,Koye,likely_split_old_to_many_new
ET020303,ET020604,0.251244,0.999994,2175.693753,Gewane,Sibaybi,likely_split_old_to_many_new
ET041908,ET041913,0.250136,0.20296,256.487361,Jarte Jardega,Sulula Finca'a,likely_merge_many_old_to_new
ET010408,ET990305,0.249129,0.990934,276.21265,Ofla,Zata,likely_split_old_to_many_new
ET070106,ET070405,0.246534,0.999995,108.322231,Meskan,Misrak Meskan,likely_split_old_to_many_new
ET010203,ET010219,0.24614,0.974114,312.24275,Werei Leke,Emba Sieneti,likely_split_old_to_many_new
ET050404OU056,ET050498,0.245267,0.471733,804.788644,Hamero,Yahob,complex_many_to_many
ET020103,ET020104,0.236855,0.19499,397.263198,Asayita,Afambo,likely_split_old_to_many_new
ET031112OU003,ET031106,0.236807,1,719.004087,Chilga,Chilga 1,likely_split_old_to_many_new
ET011066,ET010706,0.236434,0.797397,5.045581,Hadnet,Qedamay Weyane Sub City,complex_many_to_many
ET070604OU053,ET080121,0.236167,1,204.881693,Humbo,Abela Abaya,likely_split_old_to_many_new
ET070403,ET160302,0.23604,0.664553,77.075982,Arbe Gonna,Shafamo,complex_many_to_many
ET031112OU003,ET031112,0.235209,0.95461,714.151719,Chilga,Chilga 2,likely_split_old_to_many_new
ET042009O,ET042003,0.234705,0.645279,30.599114,Sebeta /Town/,Furi,complex_many_to_many
ET050598,ET050595,0.234262,0.216809,511.221365,El-Ogaden,Goglo,complex_many_to_many
ET010101,ET010112,0.23154,0.980887,891.276437,Tahtay Adiyabo,Maekel Adiyabo,likely_split_old_to_many_new
ET010404,ET010402,0.230964,0.980098,182.965955,Alage,Bora (TG),likely_split_old_to_many_new
ET072002,ET072013,0.228672,1,114.216555,Silti,Misrak Siltie,likely_split_old_to_many_new
ET070407,ET160410,0.226607,0.906225,65.614673,Hulla,Chirone,complex_many_to_many
ET011064,ET010701,0.22648,0.007264,1.064189,Kedamay Weyane,Kuiha Sub City,complex_many_to_many
ET020303,ET020603,0.226133,0.937625,1958.242713,Gewane,Yangudi,complex_many_to_many
ET011064,ET010706,0.225761,0.167649,1.060813,Kedamay Weyane,Qedamay Weyane Sub City,complex_many_to_many
ET020101OU001,ET020601,0.225614,0.799667,1673.067315,Dubti,Gerani,complex_many_to_many
ET050704OU055,ET050798,0.22444,0.824426,2360.352958,Warder,Lehel-Yucub,complex_many_to_many
ET050395,ET050297,0.219052,0.189265,278.089078,Ararso,Koran /Mulla,likely_merge_many_old_to_new
ET041412OU033,ET041482,0.218673,0.998983,633.606685,Saba Boru,Aga Wayu,likely_split_old_to_many_new
ET050603,ET051095,0.216482,0.28298,630.27958,Danan,Horshagah,likely_merge_many_old_to_new
ET051003,ET051096,0.214962,0.690247,975.721951,Garbo,Hararey,complex_many_to_many
ET070407,ET160402,0.214754,0.48842,62.182787,Hulla,Teticha,complex_many_to_many
ET050597,ET050504,0.213347,0.146855,327.749278,Higloley,Debeweyin,likely_merge_many_old_to_new
ET010502,ET990108,0.213302,0.951081,810.341583,Welkait,Awra,likely_split_old_to_many_new
ET050904,ET050903,0.212665,0.113204,524.545254,Guradamole,Goro Baqaqsa,likely_merge_many_old_to_new
ET071702,ET110407,0.212359,1,98.12909,Mareka,Tercha Zuriya,likely_split_old_to_many_new
ET071007,ET080216,0.210085,1,78.484655,Chencha,Kogota /Ezo,likely_split_old_to_many_new
ET050504,ET050698,0.207032,0.15263,416.66881,Debeweyin,Elale,likely_merge_many_old_to_new
ET020105,ET020602,0.206188,0.359841,838.727376,Mile,Kilalu,complex_many_to_many
ET140103,ET140108,0.205542,0.666238,14.077149,Kolfe - Keran,Addis Ketema Sub City,likely_split_old_to_many_new
ET050502OU070,ET050595,0.205472,0.779221,1837.348774,Kebridehar,Goglo,complex_many_to_many
ET010206,ET010201,0.202147,0.201841,119.192413,Tahtay Mayechew,Chila,complex_many_to_many
ET041015,ET041020,0.20206,1,314.913909,Chinaksen,Mekanisa Oromo,one_to_one_redraw_or_recode
ET070503,ET081108,0.19924,0.216627,38.684286,Kochere,Churso,complex_many_to_many
ET042014OU069,ET042006,0.198126,0.77929,133.602541,Welmera,Gefersa Guje,complex_many_to_many
ET070413,ET160305,0.198062,0.123716,35.576653,Wonosho,Dale,complex_many_to_many
ET050402OU057,ET050498,0.197842,0.475315,810.900909,Fik,Yahob,complex_many_to_many
ET070411,ET160207,0.194853,0.251064,41.58409,Gorche,Shebe Dino,complex_many_to_many
ET070408,ET160509,0.19354,0.859364,105.725249,Bensa,Chabe Gambeltu,complex_many_to_many
ET050903,ET050904,0.192383,0.312341,882.999484,Goro Baqaqsa,Guradamole,likely_split_old_to_many_new
ET070410,ET160208,0.187803,1,110.651589,Boricha,Boricha,likely_split_old_to_many_new
ET070408,ET160501,0.187045,1,102.177194,Bensa,Bura,likely_split_old_to_many_new
ET010205,ET010209,0.184699,0.202095,98.950612,Laelay Maychew,Naeder,complex_many_to_many
ET050298,ET050204,0.183497,0.12232,198.33915,Haroreys,Shabeeley,complex_many_to_many
ET050502OU070,ET050598,0.183378,1,1639.784207,Kebridehar,El-Ogaden,likely_split_old_to_many_new
ET010210,ET010222,0.183002,0.712405,264.586113,Tanqua Abergele,Tanqua Melashe,complex_many_to_many
ET010211,ET010221,0.18186,0.006116,4.375081,Abi Adi Town,Keyhe tekli,likely_merge_many_old_to_new
ET010501,ET990106,0.180505,0.995236,1119.589827,Kafta Humera,May Kadra,likely_split_old_to_many_new
ET050703,ET050704,0.178429,0.206217,2239.716206,Galadi,Warder,likely_merge_many_old_to_new
ET140105,ET140103,0.176154,0.031641,1.617499,Lideta,Kolfe Keraniyo Sub City,one_to_one_redraw_or_recode
ET020303,ET020602,0.172304,0.640159,1492.099647,Gewane,Kilalu,complex_many_to_many
ET050502OU070,ET050599,0.1723,0.475963,1540.723038,Kebridehar,Bodaley,complex_many_to_many
ET051002,ET050608,0.171056,0.249809,642.448936,Elwayne,Berocano,complex_many_to_many
ET050601OU071,ET050699,0.171051,0.435708,942.513037,East Imi,Aba-Korow,complex_many_to_many
ET050902OU061,ET050901,0.170264,0.135116,1614.286221,Dolo Odo,Filtu,likely_split_old_to_many_new
ET050302OU060,ET050382,0.170198,0.741988,1120.322409,Degehabur,Yocale,complex_many_to_many
ET070205OU065,ET070216,0.169344,1,50.426148,Misrak Badawacho,Siraro Badawacho,likely_split_old_to_many_new
ET041113,ET042204,0.168424,1,1482.844761,Meda Welabu,West Welabu,likely_split_old_to_many_new
ET070416,ET160402,0.167078,0.291557,37.119374,Bursa,Teticha,complex_many_to_many
ET042006,ET042011,0.166337,0.579919,124.785023,Sebeta Hawas,Sebeta,complex_many_to_many
ET050586,ET050399,0.164515,0.192773,312.723499,Marsin,Dig,likely_merge_many_old_to_new
ET020203,ET020209,0.164253,1,189.230229,Aba 'Ala,Abaala town,likely_split_old_to_many_new
ET051002,ET050699,0.162569,0.282257,610.571976,Elwayne,Aba-Korow,complex_many_to_many
ET010604,ET010317,0.161155,0.483468,167.703932,Dega Temben,Geraleta,complex_many_to_many
ET010206,ET010207,0.159618,0.145992,94.11591,Tahtay Mayechew,Adet,likely_split_old_to_many_new
ET071013,ET080204,0.159299,1,126.209408,Bonke,Bonke,likely_split_old_to_many_new
ET071305,ET080904,0.158858,0.989641,370.755744,Konso,Segen Zuria,complex_many_to_many
ET050301,ET050297,0.157836,0.508553,747.222928,Degehamedo,Koran /Mulla,complex_many_to_many
ET020303,ET020305,0.156838,0.743852,1358.16841,Gewane,Gala'alu,complex_many_to_many
ET042012,ET042004,0.156027,0.68578,84.874884,Akaki,Galan,complex_many_to_many
ET050806,ET050898,0.154364,0.58667,1655.408741,Hargele,Kohle /Qoxle,complex_many_to_many
ET050807,ET050808,0.152555,0.141731,567.851307,Barey,Dolobay,likely_merge_many_old_to_new
ET050302OU060,ET050306,0.152412,0.727776,1003.243853,Degehabur,Bilcil-Bur,complex_many_to_many
ET050305,ET050399,0.151461,0.248756,403.541453,Gunagado,Dig,complex_many_to_many
ET072101OU050,ET071403,0.151408,1,148.017116,Halaba SP Woreda,Atote Ulo,likely_split_old_to_many_new
ET050204,ET050293,0.149669,0.293235,73.427887,Shabeeley,Jigjiga town,likely_merge_many_old_to_new
ET071016,ET080210,0.149067,1,261.299278,Arba Minch Zuria,Gacho Baba,likely_split_old_to_many_new
ET072005,ET072010,0.144526,0.402173,50.781536,Dalocha,Worabe town,likely_merge_many_old_to_new
ET020105,ET020101,0.143716,0.097253,584.602978,Mile,Dubti,complex_many_to_many
ET042006,ET042005,0.143187,0.710072,107.418246,Sebeta Hawas,Galan Gudo,complex_many_to_many
ET050601OU071,ET051006,0.142921,0.347653,787.514095,East Imi,Dihun,likely_split_old_to_many_new
ET040708,ET040798,0.141854,1,216.750216,Adama Tulu Jido Kombolcha,Batu town,one_to_one_redraw_or_recode
ET042012,ET040709,0.138356,0.147002,75.262073,Akaki,Bishoftu town,complex_many_to_many
ET040617,ET040623,0.13718,0.471058,67.572071,Aleltu,Sendafa town,likely_merge_many_old_to_new
ET011064,ET010703,0.137104,0.015469,0.644227,Kedamay Weyane,Ayder Sub City,complex_many_to_many
ET050804,ET050805,0.137007,0.293299,1153.365381,Elkare/Serer,West Imi,complex_many_to_many
ET010102,ET010104,0.136195,0.296693,244.050476,Laelay Adiabo,Tahtay Koraro,likely_split_old_to_many_new
ET050898,ET050899,0.136021,0.221457,352.6409,Kohle/Qoxle,God-God,likely_split_old_to_many_new
ET020301,ET020305,0.134798,0.256148,467.689735,Amibara,Gala'alu,complex_many_to_many
ET050596,ET050599,0.133422,0.046364,150.082533,Lasdhankayre,Bodaley,complex_many_to_many
ET020103,ET020102,0.133268,0.019538,223.522313,Asayita,Elidar,complex_many_to_many
ET050404OU056,ET050499,0.132326,0.884614,434.199875,Hamero,Wangey,complex_many_to_many
ET010301,ET010304,0.13144,0.168367,78.339359,Gulo Mekeda,Ganta Afeshum,likely_split_old_to_many_new
ET050106,ET050109,0.130183,0.589421,1328.625957,Hadhagala,Dhunyar,complex_many_to_many
ET020303,ET020308,0.129253,1,1119.291189,Gewane,Abida,likely_split_old_to_many_new
ET050601OU071,ET051001,0.129222,0.366696,712.03038,East Imi,Ayun,complex_many_to_many
ET010502,ET990102,0.127066,0.997423,482.727347,Welkait,Korarit,likely_split_old_to_many_new
ET051005,ET050404,0.125702,0.137368,313.380625,Sagag,Hamero,complex_many_to_many
ET070405,ET160402,0.124269,0.220023,28.012044,Aleta Wendo,Teticha,complex_many_to_many
ET010306,ET010317,0.122654,0.341939,118.610517,Kelete Awelallo,Geraleta,complex_many_to_many
ET042013,ET042012,0.121574,0.936415,138.671726,Sululta,Sululta,complex_many_to_many
ET070702,ET080501,0.121433,1,246.853327,South Ari (Bako Gazer),Baka Dawula,likely_split_old_to_many_new
ET071305,ET080901,0.120669,1,281.628309,Konso,Kena,likely_split_old_to_many_new
ET050206OU059,ET050204,0.119414,0.294705,477.85931,Kebribeyah,Shabeeley,complex_many_to_many
ET140102,ET140105,0.11864,0.47727,7.168934,Nefas Silk,Lideta Sub City,one_to_one_redraw_or_recode
ET070607,ET080120,0.117592,0.277351,45.324106,Ofa,Kawo Koyesha,complex_many_to_many
ET070416,ET160302,0.115407,0.221067,25.639729,Bursa,Shafamo,complex_many_to_many
ET070411,ET160205,0.114851,0.259837,24.5107,Gorche,Hawela,complex_many_to_many
ET051002,ET051096,0.114648,0.304611,430.59235,Elwayne,Hararey,complex_many_to_many
ET030307OU011,ET030313,0.114539,1,103.216374,Guba Lafto,Angot,likely_split_old_to_many_new
ET010202,ET010217,0.114328,0.704699,144.468922,Aheferom,Hahayle,complex_many_to_many
ET040309,ET040412,0.114094,0.104569,104.046702,Yayu,Sigmo,one_to_one_redraw_or_recode
ET071201,ET072403,0.113987,1,87.102706,Yem SP Woreda,Deri Saja zuria,likely_split_old_to_many_new
ET041797,ET041712,0.113091,0.022416,8.516806,Wondo,Shashemene,likely_split_old_to_many_new
ET050699,ET050805,0.11275,0.033612,132.17503,Aba-korow,West Imi,complex_many_to_many
ET070415,ET160507,0.112258,0.093689,38.136409,Chire,Aroresa,complex_many_to_many
ET072008,ET072010,0.111618,0.396022,50.004804,Wilbareg,Worabe town,likely_merge_many_old_to_new
ET050206OU059,ET050297,0.110863,0.301938,443.641126,Kebribeyah,Koran /Mulla,complex_many_to_many
ET010104,ET010105,0.110303,0.045913,73.724097,Tahtay Koraro,Asgede,complex_many_to_many
ET050606,ET050597,0.108774,0.136365,355.307734,Mustahil,Higloley,likely_merge_many_old_to_new
ET050802,ET050808,0.108657,0.245326,982.910214,Charati/Weyib,Dolobay,complex_many_to_many
ET040297,ET040213,0.107225,0.006763,6.246519,Nekemte Town,Guto Gida,one_to_one_redraw_or_recode
ET070502,ET081108,0.106747,0.171138,30.561049,Yirgachefe,Churso,complex_many_to_many
ET041799O,ET041703,0.104953,0.002599,3.293531,Arsi Negele Town,Arsi Negele,complex_many_to_many
ET010602,ET010701,0.103814,0.941384,137.915006,Enderta,Kuiha Sub City,complex_many_to_many
ET020105,ET020601,0.103039,0.200333,419.138107,Mile,Gerani,complex_many_to_many
ET042011,ET040623,0.101639,0.499678,71.677591,Bereh,Sendafa town,complex_many_to_many
ET010603,ET010602,0.10038,0.123616,198.867251,Hintalo Wajirat,Enderta,complex_many_to_many
ET050103,ET050104,0.098911,0.088412,365.541203,Shinile,Erer (SM),likely_merge_many_old_to_new
ET050596,ET050698,0.097162,0.040036,109.294754,Lasdhankayre,Elale,complex_many_to_many
ET042011,ET042002,0.096794,0.696474,68.260388,Bereh,Eka Tafo,complex_many_to_many
ET072002,ET072011,0.096399,1,48.149375,Silti,Kibet town,likely_split_old_to_many_new
ET030516,ET030524,0.095149,1,68.025981,Hagere Mariam,Tulefa town,one_to_one_redraw_or_recode
ET070605,ET080122,0.094341,0.618244,38.158381,Sodo Zuria,Bayera Koyesha,complex_many_to_many
ET010213,ET010205,0.093619,0.003402,1.609859,Axum Town,Laelay Maychew,likely_merge_many_old_to_new
ET010604,ET010222,0.093543,0.262102,97.344104,Dega Temben,Tanqua Melashe,complex_many_to_many
ET050303,ET050305,0.090303,0.115472,281.375057,Aware,Gunagado,likely_split_old_to_many_new
ET011066,ET010705,0.089041,0.499635,1.900174,Hadnet,Adihaki Sub City,complex_many_to_many
ET050599,ET050501,0.088996,0.088691,153.579428,Bodaley,Shaygosh,likely_merge_many_old_to_new
ET050805,ET050809,0.088876,0.914744,272.044144,West Imi,Raso,likely_merge_many_old_to_new
ET071901,ET110604,0.0858,1,201.932183,Ela (Konta) SP Woreda,Elahanchano,likely_split_old_to_many_new
ET050402OU057,ET050203,0.084771,0.999999,347.453055,Fik,Babile (SM),likely_split_old_to_many_new
ET042014OU069,ET040512,0.084568,0.99451,57.026982,Welmera,Holeta town,likely_split_old_to_many_new
ET010102,ET010105,0.084514,0.094313,151.442224,Laelay Adiabo,Asgede,complex_many_to_many
ET050298,ET050293,0.08398,0.362503,90.773045,Haroreys,Jigjiga town,complex_many_to_many
ET010103,ET010201,0.0825,0.145569,85.962321,Medebay Zana,Chila,complex_many_to_many
ET050502OU070,ET050596,0.081941,0.472174,732.728307,Kebridehar,Lasdhankayre,likely_split_old_to_many_new
ET070603,ET080112,0.081706,0.068495,28.770942,Damot Weydie,Duguna Fango,complex_many_to_many
ET042004O,ET042008,0.081483,0.010754,2.639017,Lege tafo-Lege Dadi Town,Kura Jida,complex_many_to_many
ET051095,ET051003,0.080768,0.027364,94.888249,Horshagah,Garbo,likely_merge_many_old_to_new
ET050804,ET050903,0.080534,0.146313,677.960837,Elkare/Serer,Goro Baqaqsa,complex_many_to_many
ET010206,ET010205,0.080466,0.10027,47.445163,Tahtay Mayechew,Laelay Maychew,complex_many_to_many
ET051005,ET051003,0.079628,0.057249,198.51653,Sagag,Garbo,complex_many_to_many
ET010302,ET010303,0.078028,0.126072,76.437541,Erob,Sebuha Saesie,one_to_one_redraw_or_recode
ET030702,ET031406,0.077907,1,112.447734,Bahirdar Zuria,Tis Abay town,likely_split_old_to_many_new
ET070305OU051,ET070312,0.076952,1,14.648169,Hadero Tunto,Hadero town,likely_split_old_to_many_new
ET041901OU037,ET041913,0.076608,0.05463,69.037408,Horo,Sulula Finca'a,complex_many_to_many
ET051003,ET051095,0.076587,0.156079,347.633442,Garbo,Horshagah,complex_many_to_many
ET050301,ET051005,0.074038,0.137414,350.509078,Degehamedo,Sagag,complex_many_to_many
ET140103,ET140110,0.073557,0.135677,5.037773,Kolfe - Keran,Gulele Sub City,likely_split_old_to_many_new
ET050198,ET050105,0.073485,0.052696,77.342582,Gota-biki,Afdem,complex_many_to_many
ET050408,ET050402,0.073462,0.024956,76.351518,Meyumuluka,Fik,likely_merge_many_old_to_new
ET011062,ET010602,0.072942,0.001549,2.492734,Debub & Semen Mekele,Enderta,complex_many_to_many
ET070702,ET080513,0.072815,1,148.022189,South Ari (Bako Gazer),Wub Ari,likely_split_old_to_many_new
ET050605,ET050597,0.071937,0.166821,434.663387,Kelafo,Higloley,complex_many_to_many
ET050596,ET050603,0.071708,0.03747,80.662256,Lasdhankayre,Danan,likely_split_old_to_many_new
ET041702,ET041711,0.071357,0.125006,59.158935,Shala,Shashemene town,likely_merge_many_old_to_new
